username,repo_name,stars,repo_url
mrdoob,three.js,84000,https://github.com/mrdoob/three.js
libgdx,libgdx,20000,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,19000,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,18000,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,14000,https://github.com/ssloy/tinyrenderer
aframevr,aframe,14000,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,13000,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,12000,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,9000,https://github.com/metafizzy/zdog
CesiumGS,cesium,9000,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,8000,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,7000,https://github.com/isl-org/Open3D
a1studmuffin,SpaceshipGenerator,7000,https://github.com/a1studmuffin/SpaceshipGenerator
blender,blender,6000,https://github.com/blender/blender
domlysz,BlenderGIS,5000,https://github.com/domlysz/BlenderGIS
spritejs,spritejs,5000,https://github.com/spritejs/spritejs
openscad,openscad,5000,https://github.com/openscad/openscad
tensorspace-team,tensorspace,4000,https://github.com/tensorspace-team/tensorspace
jagenjo,webglstudio.js,4000,https://github.com/jagenjo/webglstudio.js
YadiraF,PRNet,4000,https://github.com/YadiraF/PRNet
