username,repo_name,stars,repo_url
dotnet,AspNetCore.Docs,10000,https://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,10000,https://github.com/aspnetboilerplate/aspnetboilerplate
bitwarden,server,10000,https://github.com/bitwarden/server
abpframework,abp,8000,https://github.com/abpframework/abp
nopSolutions,nopCommerce,7000,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6000,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,5000,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,5000,https://github.com/RicoSuter/NSwag
smartstore,SmartStoreNET,2000,https://github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2000,https://github.com/JimBobSquarePants/ImageProcessor
dotnet,aspnet-api-versioning,2000,https://github.com/dotnet/aspnet-api-versioning
serenity-is,Serenity,2000,https://github.com/serenity-is/Serenity
loic-sharma,BaGet,2000,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,1000,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1000,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1000,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1000,https://github.com/MarimerLLC/csla
antonioCoco,SharPyShell,628,https://github.com/antonioCoco/SharPyShell
riganti,dotvvm,623,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,616,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
