username,repo_name,stars,repo_url
jwasham,coding-interview-university,231000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,156000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,149000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,143000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,77000,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,58000,https://github.com/kdn251/interviews
azl397985856,leetcode,49000,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,47000,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,38000,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,30000,https://github.com/youngyangyang04/leetcode-master
crossoverJie,JCSprout,26000,https://github.com/crossoverJie/JCSprout
halfrost,LeetCode-Go,26000,https://github.com/halfrost/LeetCode-Go
donnemartin,interactive-coding-challenges,26000,https://github.com/donnemartin/interactive-coding-challenges
huihut,interview,25000,https://github.com/huihut/interview
TheAlgorithms,JavaScript,21000,https://github.com/TheAlgorithms/JavaScript
keon,algorithms,21000,https://github.com/keon/algorithms
TheAlgorithms,C-Plus-Plus,20000,https://github.com/TheAlgorithms/C-Plus-Plus
mxgmn,WaveFunctionCollapse,19000,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,19000,https://github.com/trekhleb/homemade-machine-learning
AtsushiSakai,PythonRobotics,16000,https://github.com/AtsushiSakai/PythonRobotics
