username,repo_name,stars,repo_url
serverless,serverless,43000,https://github.com/serverless/serverless
localstack,localstack,43000,https://github.com/localstack/localstack
bregman-arie,devops-exercises,28000,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,23000,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,13000,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13000,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,12000,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,12000,https://github.com/kubernetes-sigs/kubespray
donnemartin,awesome-aws,10000,https://github.com/donnemartin/awesome-aws
mozilla,sops,10000,https://github.com/mozilla/sops
apereo,cas,9000,https://github.com/apereo/cas
aws,chalice,9000,https://github.com/aws/chalice
aws,aws-cdk,9000,https://github.com/aws/aws-cdk
caprover,caprover,9000,https://github.com/caprover/caprover
aws-amplify,amplify-js,8000,https://github.com/aws-amplify/amplify-js
aws,serverless-application-model,8000,https://github.com/aws/serverless-application-model
apex,up,8000,https://github.com/apex/up
google,go-cloud,8000,https://github.com/google/go-cloud
angristan,openvpn-install,8000,https://github.com/angristan/openvpn-install
GoogleCloudPlatform,terraformer,8000,https://github.com/GoogleCloudPlatform/terraformer
