username,repo_name,stars,repo_url
amphp,amp,3000,https://github.com/amphp/amp
danog,MadelineProto,2000,https://github.com/danog/MadelineProto
amphp,http-server,1000,https://github.com/amphp/http-server
unreal4u,telegram-api,728,https://github.com/unreal4u/telegram-api
amphp,http-client,624,https://github.com/amphp/http-client
amphp,parallel,595,https://github.com/amphp/parallel
php-service-bus,service-bus,329,https://github.com/php-service-bus/service-bus
amphp,byte-stream,300,https://github.com/amphp/byte-stream
amphp,mysql,284,https://github.com/amphp/mysql
amphp,parallel-functions,231,https://github.com/amphp/parallel-functions
amphp,process,188,https://github.com/amphp/process
amphp,socket,168,https://github.com/amphp/socket
amphp,redis,130,https://github.com/amphp/redis
amphp,dns,123,https://github.com/amphp/dns
amphp,sync,116,https://github.com/amphp/sync
kelunik,acme,114,https://github.com/kelunik/acme
amphp,websocket-client,108,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,82,https://github.com/amphp/websocket-server
amphp,serialization,81,https://github.com/amphp/serialization
