username,repo_name,stars,repo_url
flutter,flutter,144000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,95000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,69000,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,55000,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,46000,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,43000,https://github.com/wasabeef/awesome-android-ui
square,okhttp,42000,https://github.com/square/okhttp
Solido,awesome-flutter,42000,https://github.com/Solido/awesome-flutter
android,architecture-samples,41000,https://github.com/android/architecture-samples
square,retrofit,40000,https://github.com/square/retrofit
dcloudio,uni-app,37000,https://github.com/dcloudio/uni-app
fastlane,fastlane,35000,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,35000,https://github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,33000,https://github.com/airbnb/lottie-android
bumptech,glide,32000,https://github.com/bumptech/glide
shadowsocks,shadowsocks-android,32000,https://github.com/shadowsocks/shadowsocks-android
laurent22,joplin,31000,https://github.com/laurent22/joplin
skylot,jadx,31000,https://github.com/skylot/jadx
Blankj,AndroidUtilCode,31000,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,31000,https://github.com/xitu/gold-miner
