username,repo_name,stars,repo_url
ansible,ansible,54000,https://github.com/ansible/ansible
bregman-arie,devops-exercises,28000,https://github.com/bregman-arie/devops-exercises
trailofbits,algo,26000,https://github.com/trailofbits/algo
StreisandEffect,streisand,22000,https://github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,16000,https://github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,12000,https://github.com/kubernetes-sigs/kubespray
ansible,awx,11000,https://github.com/ansible/awx
easzlab,kubeasz,8000,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,6000,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,6000,https://github.com/khuedoan/homelab
ansible-semaphore,semaphore,5000,https://github.com/ansible-semaphore/semaphore
Tikam02,DevOps-Guide,5000,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,4000,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,4000,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4000,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,3000,https://github.com/clong/DetectionLab
netbootxyz,netboot.xyz,3000,https://github.com/netbootxyz/netboot.xyz
ansible-community,molecule,3000,https://github.com/ansible-community/molecule
werf,werf,3000,https://github.com/werf/werf
opendevops-cn,opendevops,3000,https://github.com/opendevops-cn/opendevops
