username,repo_name,stars,repo_url
arendst,Tasmota,18000,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,13000,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,13000,https://github.com/arduino/Arduino
rwaldron,johnny-five,12000,https://github.com/rwaldron/johnny-five
tinygo-org,tinygo,11000,https://github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,10000,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,9000,https://github.com/espressif/arduino-esp32
hybridgroup,gobot,7000,https://github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7000,https://github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,6000,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,5000,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5000,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,3000,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3000,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3000,https://github.com/arduino/arduino-cli
blynkkk,blynk-library,3000,https://github.com/blynkkk/blynk-library
NectarJS,nectarjs,3000,https://github.com/NectarJS/nectarjs
olikraus,u8g2,3000,https://github.com/olikraus/u8g2
ClemensElflein,OpenMower,3000,https://github.com/ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,2000,https://github.com/Serial-Studio/Serial-Studio
