username,repo_name,stars,repo_url
atom,atom,58000,https://github.com/atom/atom
themerdev,themer,4000,https://github.com/themerdev/themer
miniflux,v2,3000,https://github.com/miniflux/v2
nteract,hydrogen,3000,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3000,https://github.com/shd101wyy/markdown-preview-enhanced
atom,teletype,2000,https://github.com/atom/teletype
mmcdole,gofeed,1000,https://github.com/mmcdole/gofeed
mehcode,awesome-atom,1000,https://github.com/mehcode/awesome-atom
joefitzgerald,go-plus,1000,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1000,https://github.com/Glavin001/atom-beautify
kurtmckee,feedparser,1000,https://github.com/kurtmckee/feedparser
simplepie,simplepie,1000,https://github.com/simplepie/simplepie
ocaml,merlin,1000,https://github.com/ocaml/merlin
t9md,atom-vim-mode-plus,1000,https://github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,1000,https://github.com/MagicStack/MagicPython
atom,apm,1000,https://github.com/atom/apm
file-icons,atom,1000,https://github.com/file-icons/atom
kettanaito,atomic-layout,1000,https://github.com/kettanaito/atomic-layout
atom,github,1000,https://github.com/atom/github
nmdias,FeedKit,1000,https://github.com/nmdias/FeedKit
