username,repo_name,stars,repo_url
sindresorhus,awesome,217000,https://github.com/sindresorhus/awesome
vinta,awesome-python,139000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,100000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,86000,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,76000,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,63000,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,58000,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,55000,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,52000,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,49000,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,46000,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,43000,https://github.com/wasabeef/awesome-android-ui
MunGell,awesome-for-beginners,43000,https://github.com/MunGell/awesome-for-beginners
Solido,awesome-flutter,42000,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,42000,https://github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,40000,https://github.com/vsouza/awesome-ios
binhnguyennus,awesome-scalability,40000,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,39000,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,36000,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,34000,https://github.com/dypsilon/frontend-dev-bookmarks
