username,repo_name,stars,repo_url
bregman-arie,devops-exercises,28000,https://github.com/bregman-arie/devops-exercises
microsoft,recommenders,13000,https://github.com/microsoft/recommenders
pulumi,pulumi,13000,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13000,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,12000,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,10000,https://github.com/mozilla/sops
caprover,caprover,9000,https://github.com/caprover/caprover
microsoft,computervision-recipes,8000,https://github.com/microsoft/computervision-recipes
google,go-cloud,8000,https://github.com/google/go-cloud
infracost,infracost,7000,https://github.com/infracost/infracost
microsoft,azuredatastudio,6000,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6000,https://github.com/node-formidable/formidable
midwayjs,midway,6000,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,5000,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,4000,https://github.com/aquasecurity/tfsec
budtmo,docker-android,4000,https://github.com/budtmo/docker-android
bridgecrewio,checkov,4000,https://github.com/bridgecrewio/checkov
nccgroup,ScoutSuite,4000,https://github.com/nccgroup/ScoutSuite
cloud-custodian,cloud-custodian,4000,https://github.com/cloud-custodian/cloud-custodian
Azure,azure-sdk-for-net,3000,https://github.com/Azure/azure-sdk-for-net
