username,repo_name,stars,repo_url
babel,babel,41000,https://github.com/babel/babel
nylas,nylas-mail,24000,https://github.com/nylas/nylas-mail
swc-project,swc,23000,https://github.com/swc-project/swc
kriasoft,react-starter-kit,21000,https://github.com/kriasoft/react-starter-kit
electron-react-boilerplate,electron-react-boilerplate,20000,https://github.com/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,19000,https://github.com/avajs/ava
SimulatedGREG,electron-vue,15000,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14000,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,11000,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,8000,https://github.com/grommet/grommet
developit,htm,7000,https://github.com/developit/htm
ben-rogerson,twin.macro,6000,https://github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,6000,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5000,https://github.com/documentationjs/documentation
insin,nwb,5000,https://github.com/insin/nwb
egoist,poi,5000,https://github.com/egoist/poi
thinkjs,thinkjs,5000,https://github.com/thinkjs/thinkjs
fkling,astexplorer,4000,https://github.com/fkling/astexplorer
transitive-bullshit,create-react-library,4000,https://github.com/transitive-bullshit/create-react-library
babel,babel-loader,4000,https://github.com/babel/babel-loader
