username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,109000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,60000,https://github.com/nvm-sh/nvm
junegunn,fzf,46000,https://github.com/junegunn/fzf
google,zx,33000,https://github.com/google/zx
dylanaraps,pure-bash-bible,31000,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,30000,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,29000,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,28000,https://github.com/mathiasbynens/dotfiles
starship,starship,28000,https://github.com/starship/starship
acmesh-official,acme.sh,27000,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,24000,https://github.com/alebcay/awesome-shell
withfig,autocomplete,19000,https://github.com/withfig/autocomplete
jaywcjlove,linux-command,19000,https://github.com/jaywcjlove/linux-command
dylanaraps,neofetch,16000,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,15000,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14000,https://github.com/rbenv/rbenv
powerline,powerline,13000,https://github.com/powerline/powerline
shelljs,shelljs,13000,https://github.com/shelljs/shelljs
Bash-it,bash-it,13000,https://github.com/Bash-it/bash-it
faressoft,terminalizer,12000,https://github.com/faressoft/terminalizer
