username,repo_name,stars,repo_url
bitcoin,bitcoin,65000,https://github.com/bitcoin/bitcoin
ccxt,ccxt,25000,https://github.com/ccxt/ccxt
freqtrade,freqtrade,19000,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17000,https://github.com/HelloZeroNet/ZeroNet
askmike,gekko,9000,https://github.com/askmike/gekko
solana-labs,solana,9000,https://github.com/solana-labs/solana
bbfamily,abu,9000,https://github.com/bbfamily/abu
lbryio,lbry-sdk,7000,https://github.com/lbryio/lbry-sdk
dvf,blockchain,7000,https://github.com/dvf/blockchain
lightningnetwork,lnd,6000,https://github.com/lightningnetwork/lnd
yeasy,blockchain_guide,6000,https://github.com/yeasy/blockchain_guide
spesmilo,electrum,5000,https://github.com/spesmilo/electrum
butor,blackbird,5000,https://github.com/butor/blackbird
btcsuite,btcd,4000,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4000,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4000,https://github.com/bitcoinj/bitcoinj
jesse-ai,jesse,4000,https://github.com/jesse-ai/jesse
CryptoSignal,Crypto-Signal,4000,https://github.com/CryptoSignal/Crypto-Signal
bisq-network,bisq,4000,https://github.com/bisq-network/bisq
coinpride,CryptoList,3000,https://github.com/coinpride/CryptoList
