username,repo_name,stars,repo_url
ccxt,ccxt,25000,https://github.com/ccxt/ccxt
discordjs,discord.js,20000,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,19000,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16000,https://github.com/hubotio/hubot
RasaHQ,rasa,14000,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,14000,https://github.com/InstaPy/InstaPy
wechaty,wechaty,13000,https://github.com/wechaty/wechaty
gunthercox,ChatterBot,12000,https://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,11000,https://github.com/tgbot-collection/YYeTsBot
Rapptz,discord.py,11000,https://github.com/Rapptz/discord.py
howdyai,botkit,10000,https://github.com/howdyai/botkit
botpress,botpress,9000,https://github.com/botpress/botpress
sfyc23,EverydayWechat,9000,https://github.com/sfyc23/EverydayWechat
leon-ai,leon,9000,https://github.com/leon-ai/leon
pedroslopez,whatsapp-web.js,7000,https://github.com/pedroslopez/whatsapp-web.js
microsoft,ailab,7000,https://github.com/microsoft/ailab
EZFNDEV,EZFN-Lobbybot,6000,https://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,6000,https://github.com/microsoft/botframework-sdk
yagop,node-telegram-bot-api,6000,https://github.com/yagop/node-telegram-bot-api
maxbbraun,trump2cash,6000,https://github.com/maxbbraun/trump2cash
