username,repo_name,stars,repo_url
CyC2018,CS-Notes,156000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,76000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,49000,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,39000,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,38000,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,30000,https://github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,26000,https://github.com/carbon-language/carbon-lang
huihut,interview,25000,https://github.com/huihut/interview
microsoft,calculator,25000,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,24000,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,21000,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,20000,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,18000,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,18000,https://github.com/ethereum/solidity
microsoft,vcpkg,16000,https://github.com/microsoft/vcpkg
doocs,leetcode,16000,https://github.com/doocs/leetcode
catchorg,Catch2,15000,https://github.com/catchorg/Catch2
gabime,spdlog,15000,https://github.com/gabime/spdlog
AnthonyCalandra,modern-cpp-features,14000,https://github.com/AnthonyCalandra/modern-cpp-features
ssloy,tinyrenderer,14000,https://github.com/ssloy/tinyrenderer
