username,repo_name,stars,repo_url
Genymobile,scrcpy,69000,https://github.com/Genymobile/scrcpy
neovim,neovim,57000,https://github.com/neovim/neovim
git,git,43000,https://github.com/git/git
obsproject,obs-studio,40000,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,39000,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,31000,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,31000,https://github.com/FFmpeg/FFmpeg
vim,vim,28000,https://github.com/vim/vim
curl,curl,26000,https://github.com/curl/curl
huihut,interview,25000,https://github.com/huihut/interview
ggreer,the_silver_searcher,24000,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,19000,https://github.com/pbatard/rufus
mpv-player,mpv,19000,https://github.com/mpv-player/mpv
ruby,ruby,19000,https://github.com/ruby/ruby
ossrs,srs,19000,https://github.com/ossrs/srs
google,flatbuffers,18000,https://github.com/google/flatbuffers
oracle,graal,17000,https://github.com/oracle/graal
radareorg,radare2,16000,https://github.com/radareorg/radare2
microsoft,vcpkg,16000,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,15000,https://github.com/kovidgoyal/kitty
