username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,29000,https://github.com/CSSEGISandData/COVID-19
covid19india,covid19india-react,6000,https://github.com/covid19india/covid19india-react
nytimes,covid-19-data,6000,https://github.com/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6000,https://github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,5000,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3000,https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2000,https://github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,2000,https://github.com/disease-sh/API
geohot,corona,2000,https://github.com/geohot/corona
WorldHealthOrganization,app,2000,https://github.com/WorldHealthOrganization/app
corona-warn-app,cwa-server,1000,https://github.com/corona-warn-app/cwa-server
ahmadawais,corona-cli,1000,https://github.com/ahmadawais/corona-cli
github,covid19-dashboard,1000,https://github.com/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,1000,https://github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,1000,https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1000,https://github.com/mhdhejazi/CoronaTracker
neherlab,covid19_scenarios,1000,https://github.com/neherlab/covid19_scenarios
chandrikadeb7,Face-Mask-Detection,1000,https://github.com/chandrikadeb7/Face-Mask-Detection
covidpass-org,covidpass,1000,https://github.com/covidpass-org/covidpass
pomber,covid19,1000,https://github.com/pomber/covid19
