username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,28000,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,19000,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,18000,https://github.com/refined-github/refined-github
darkreader,darkreader,14000,https://github.com/darkreader/darkreader
checkly,headless-recorder,14000,https://github.com/checkly/headless-recorder
unbug,codelf,13000,https://github.com/unbug/codelf
Anarios,return-youtube-dislike,9000,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,9000,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,9000,https://github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,8000,https://github.com/listen1/listen1_chrome_extension
dailydotdev,daily,8000,https://github.com/dailydotdev/daily
appbaseio,dejavu,7000,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,7000,https://github.com/alyssaxuu/screenity
Kenshin,simpread,6000,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,5000,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,5000,https://github.com/AutomaApp/automa
dessant,buster,5000,https://github.com/dessant/buster
alyssaxuu,omni,5000,https://github.com/alyssaxuu/omni
manojVivek,medium-unlimited,5000,https://github.com/manojVivek/medium-unlimited
webclipper,web-clipper,4000,https://github.com/webclipper/web-clipper
