username,repo_name,stars,repo_url
electron,electron,103000,https://github.com/electron/electron
puppeteer,puppeteer,79000,https://github.com/puppeteer/puppeteer
microsoft,playwright,41000,https://github.com/microsoft/playwright
FiloSottile,mkcert,36000,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,28000,https://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,22000,https://github.com/ovity/octotree
jaywcjlove,linux-command,19000,https://github.com/jaywcjlove/linux-command
segmentio,nightmare,19000,https://github.com/segmentio/nightmare
checkly,headless-recorder,14000,https://github.com/checkly/headless-recorder
google,WebFundamentals,13000,https://github.com/google/WebFundamentals
prisma-archive,chromeless,13000,https://github.com/prisma-archive/chromeless
casesandberg,react-color,10000,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,10000,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,9000,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,9000,https://github.com/gildas-lormeau/SingleFile
MetaMask,metamask-extension,8000,https://github.com/MetaMask/metamask-extension
uBlock-LLC,uBlock,8000,https://github.com/uBlock-LLC/uBlock
chromedp,chromedp,8000,https://github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6000,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,6000,https://github.com/kangvcar/InfoSpider
