username,repo_name,stars,repo_url
metabase,metabase,29000,https://github.com/metabase/metabase
logseq,logseq,16000,https://github.com/logseq/logseq
deeplearning4j,deeplearning4j,12000,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11000,https://github.com/LightTable/LightTable
penpot,penpot,10000,https://github.com/penpot/penpot
kanaka,mal,8000,https://github.com/kanaka/mal
lk-geimfari,awesomo,8000,https://github.com/lk-geimfari/awesomo
tonsky,datascript,4000,https://github.com/tonsky/datascript
reagent-project,reagent,4000,https://github.com/reagent-project/reagent
riemann,riemann,4000,https://github.com/riemann/riemann
weavejester,compojure,4000,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,3000,https://github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,3000,https://github.com/izhangzhihao/intellij-rainbow-brackets
status-im,status-mobile,3000,https://github.com/status-im/status-mobile
ring-clojure,ring,3000,https://github.com/ring-clojure/ring
clojure-emacs,cider,3000,https://github.com/clojure-emacs/cider
viebel,klipse,3000,https://github.com/viebel/klipse
babashka,babashka,2000,https://github.com/babashka/babashka
bhauman,lein-figwheel,2000,https://github.com/bhauman/lein-figwheel
tallesl,Rich-Hickey-fanclub,2000,https://github.com/tallesl/Rich-Hickey-fanclub
