username,repo_name,stars,repo_url
realm,SwiftLint,16000,https://github.com/realm/SwiftLint
facebook,infer,13000,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,10000,https://github.com/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,7000,https://github.com/Kristories/awesome-guidelines
checkstyle,checkstyle,7000,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,7000,https://github.com/SonarSource/sonarqube
facebook,pyre-check,6000,https://github.com/facebook/pyre-check
reviewdog,reviewdog,5000,https://github.com/reviewdog/reviewdog
detekt,detekt,4000,https://github.com/detekt/detekt
simplecov-ruby,simplecov,4000,https://github.com/simplecov-ruby/simplecov
import-js,eslint-plugin-import,4000,https://github.com/import-js/eslint-plugin-import
PyCQA,pylint,4000,https://github.com/PyCQA/pylint
pmd,pmd,4000,https://github.com/pmd/pmd
phpro,grumphp,3000,https://github.com/phpro/grumphp
trekhleb,state-of-the-art-shitcode,3000,https://github.com/trekhleb/state-of-the-art-shitcode
htmlhint,HTMLHint,2000,https://github.com/htmlhint/HTMLHint
kucherenko,jscpd,2000,https://github.com/kucherenko/jscpd
codeclimate,codeclimate,2000,https://github.com/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,2000,https://github.com/wemake-services/wemake-python-styleguide
uber,piranha,2000,https://github.com/uber/piranha
