username,repo_name,stars,repo_url
ovity,octotree,22000,https://github.com/ovity/octotree
gitpod-io,gitpod,8000,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,5000,https://github.com/reviewdog/reviewdog
danger,danger,4000,https://github.com/danger/danger
danger,danger-js,4000,https://github.com/danger/danger-js
joho,awesome-code-review,3000,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2000,https://github.com/ajinabraham/nodejsscan
houndci,hound,1000,https://github.com/houndci/hound
microsoft,vscode-pull-request-github,1000,https://github.com/microsoft/vscode-pull-request-github
mbj,mutant,1000,https://github.com/mbj/mutant
crev-dev,cargo-crev,1000,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1000,https://github.com/reviewboard/reviewboard
Tencent,CodeAnalysis,1000,https://github.com/Tencent/CodeAnalysis
ryanmcdermott,code-review-tips,1000,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1000,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1000,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,845,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,818,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,683,https://github.com/enlightn/enlightn
palantir,policy-bot,514,https://github.com/palantir/policy-bot
