username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,149000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,46000,https://github.com/junegunn/fzf
sharkdp,bat,36000,https://github.com/sharkdp/bat
sherlock-project,sherlock,35000,https://github.com/sherlock-project/sherlock
google,zx,33000,https://github.com/google/zx
wagoodman,dive,33000,https://github.com/wagoodman/dive
BurntSushi,ripgrep,32000,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,30000,https://github.com/chubin/cheat.sh
cli,cli,29000,https://github.com/cli/cli
jesseduffield,lazygit,29000,https://github.com/jesseduffield/lazygit
spf13,cobra,28000,https://github.com/spf13/cobra
angular,angular-cli,25000,https://github.com/angular/angular-cli
alebcay,awesome-shell,24000,https://github.com/alebcay/awesome-shell
sharkdp,fd,24000,https://github.com/sharkdp/fd
n8n-io,n8n,24000,https://github.com/n8n-io/n8n
ibraheemdev,modern-unix,23000,https://github.com/ibraheemdev/modern-unix
httpie,httpie,23000,https://github.com/httpie/httpie
google,python-fire,22000,https://github.com/google/python-fire
tqdm,tqdm,22000,https://github.com/tqdm/tqdm
vercel,pkg,21000,https://github.com/vercel/pkg
