username,repo_name,stars,repo_url
vercel,next.js,91000,https://github.com/vercel/next.js
rust-lang,rust,71000,https://github.com/rust-lang/rust
sveltejs,svelte,61000,https://github.com/sveltejs/svelte
webpack,webpack,61000,https://github.com/webpack/webpack
gatsbyjs,gatsby,53000,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,42000,https://github.com/JetBrains/kotlin
babel,babel,41000,https://github.com/babel/babel
parcel-bundler,parcel,41000,https://github.com/parcel-bundler/parcel
evanw,esbuild,32000,https://github.com/evanw/esbuild
vlang,v,30000,https://github.com/vlang/v
markedjs,marked,28000,https://github.com/markedjs/marked
carbon-language,carbon-lang,26000,https://github.com/carbon-language/carbon-lang
swc-project,swc,23000,https://github.com/swc-project/swc
vercel,pkg,21000,https://github.com/vercel/pkg
v8,v8,20000,https://github.com/v8/v8
ziglang,zig,17000,https://github.com/ziglang/zig
AssemblyScript,assemblyscript,14000,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,13000,https://github.com/nim-lang/Nim
Konloch,bytecode-viewer,13000,https://github.com/Konloch/bytecode-viewer
RustPython,RustPython,12000,https://github.com/RustPython/RustPython
