username,repo_name,stars,repo_url
localstack,localstack,43000,https://github.com/localstack/localstack
harness,drone,25000,https://github.com/harness/drone
jenkinsci,jenkins,19000,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12000,https://github.com/auchenberg/volkswagen
theonedev,onedev,9000,https://github.com/theonedev/onedev
openshift,origin,8000,https://github.com/openshift/origin
gocd,gocd,6000,https://github.com/gocd/gocd
concourse,concourse,6000,https://github.com/concourse/concourse
buildbot,buildbot,4000,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,4000,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4000,https://github.com/Strider-CD/strider
jenkins-x,jx,4000,https://github.com/jenkins-x/jx
ovh,cds,4000,https://github.com/ovh/cds
xcpretty,xcpretty,3000,https://github.com/xcpretty/xcpretty
hygieia,hygieia,3000,https://github.com/hygieia/hygieia
iterative,cml,3000,https://github.com/iterative/cml
cake-build,cake,3000,https://github.com/cake-build/cake
werf,werf,3000,https://github.com/werf/werf
JamesIves,github-pages-deploy-action,3000,https://github.com/JamesIves/github-pages-deploy-action
ligurio,awesome-ci,3000,https://github.com/ligurio/awesome-ci
