username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,95000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,83000,https://github.com/angular/angular
storybookjs,storybook,73000,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,51000,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,47000,https://github.com/ionic-team/ionic-framework
prettier,prettier,43000,https://github.com/prettier/prettier
SheetJS,sheetjs,31000,https://github.com/SheetJS/sheetjs
angular,angular-cli,25000,https://github.com/angular/angular-cli
angular,components,22000,https://github.com/angular/components
NativeScript,NativeScript,21000,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,19000,https://github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,18000,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,17000,https://github.com/pubkey/rxdb
handsontable,handsontable,17000,https://github.com/handsontable/handsontable
teambit,bit,15000,https://github.com/teambit/bit
sweetalert2,sweetalert2,14000,https://github.com/sweetalert2/sweetalert2
nrwl,nx,14000,https://github.com/nrwl/nx
linnovate,mean,12000,https://github.com/linnovate/mean
codesandbox,codesandbox-client,11000,https://github.com/codesandbox/codesandbox-client
sudheerj,javascript-interview-questions,11000,https://github.com/sudheerj/javascript-interview-questions
